VIX Index;;;UX1 Index;;;UX2 Index;;;UX3 Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
#NOM?;25,61;;#NOM?;26,3;;#NOM?;27,95;;#NOM?;28,1
02/01/13;14,68;;02/01/13;15,6;;02/01/13;16,75;;02/01/13;18,1
03/01/13;14,56;;03/01/13;15,9;;03/01/13;16,95;;03/01/13;18,15
04/01/13;13,83;;04/01/13;15,3;;04/01/13;16,7;;04/01/13;18,05
07/01/13;13,79;;07/01/13;14,75;;07/01/13;16,45;;07/01/13;17,95
08/01/13;13,62;;08/01/13;14,65;;08/01/13;16,45;;08/01/13;17,9
09/01/13;13,81;;09/01/13;14,7;;09/01/13;16,4;;09/01/13;17,95
10/01/13;13,49;;10/01/13;14,2;;10/01/13;16,1;;10/01/13;17,75
11/01/13;13,36;;11/01/13;14,15;;11/01/13;16;;11/01/13;17,65
14/01/13;13,52;;14/01/13;14,1;;14/01/13;15,95;;14/01/13;17,35
15/01/13;13,55;;15/01/13;14,2;;15/01/13;15,8;;15/01/13;17,25
16/01/13;13,42;;16/01/13;15,5;;16/01/13;17,1;;16/01/13;17,95
17/01/13;13,57;;17/01/13;15,7;;17/01/13;17;;17/01/13;17,9
18/01/13;12,46;;18/01/13;14,65;;18/01/13;16,3;;18/01/13;17,25
22/01/13;12,43;;22/01/13;14,05;;22/01/13;15,4;;22/01/13;16,5
23/01/13;12,46;;23/01/13;13,7;;23/01/13;15,05;;23/01/13;16,25
24/01/13;12,69;;24/01/13;13,95;;24/01/13;15,1;;24/01/13;16,15
25/01/13;12,89;;25/01/13;14,1;;25/01/13;15,15;;25/01/13;16,1
28/01/13;13,57;;28/01/13;14,6;;28/01/13;15,35;;28/01/13;16,3
29/01/13;13,31;;29/01/13;14,05;;29/01/13;14,95;;29/01/13;16
30/01/13;14,32;;30/01/13;15,15;;30/01/13;15,8;;30/01/13;16,6
31/01/13;14,28;;31/01/13;14,9;;31/01/13;15,75;;31/01/13;16,7
01/02/13;12,9;;01/02/13;14,3;;01/02/13;15,4;;01/02/13;16,35
04/02/13;14,67;;04/02/13;15,3;;04/02/13;15,9;;04/02/13;16,75
05/02/13;13,72;;05/02/13;14,4;;05/02/13;15,6;;05/02/13;16,6
06/02/13;13,41;;06/02/13;14,15;;06/02/13;15,35;;06/02/13;16,45
07/02/13;13,5;;07/02/13;14,1;;07/02/13;15,35;;07/02/13;16,35
08/02/13;13,02;;08/02/13;13,8;;08/02/13;15,05;;08/02/13;16,1
11/02/13;12,94;;11/02/13;13,5;;11/02/13;14,95;;11/02/13;15,85
12/02/13;12,64;;12/02/13;13;;12/02/13;14,8;;12/02/13;15,8
13/02/13;12,98;;13/02/13;14,75;;13/02/13;15,85;;13/02/13;16,55
14/02/13;12,66;;14/02/13;14,55;;14/02/13;15,75;;14/02/13;16,45
15/02/13;12,46;;15/02/13;14,5;;15/02/13;15,65;;15/02/13;16,4
19/02/13;12,31;;19/02/13;13,9;;19/02/13;14,95;;19/02/13;15,75
20/02/13;14,68;;20/02/13;15,4;;20/02/13;16;;20/02/13;16,55
21/02/13;15,22;;21/02/13;15,5;;21/02/13;16,15;;21/02/13;16,75
22/02/13;14,17;;22/02/13;14,85;;22/02/13;15,7;;22/02/13;16,45
25/02/13;18,99;;25/02/13;17,65;;25/02/13;17,5;;25/02/13;17,55
26/02/13;16,87;;26/02/13;17,05;;26/02/13;17,35;;26/02/13;17,6
27/02/13;14,73;;27/02/13;15,4;;27/02/13;16,1;;27/02/13;16,75
28/02/13;15,51;;28/02/13;16,15;;28/02/13;16,7;;28/02/13;17,05
01/03/13;15,36;;01/03/13;16,4;;01/03/13;16,95;;01/03/13;17,35
04/03/13;14,01;;04/03/13;15;;04/03/13;15,85;;04/03/13;16,55
05/03/13;13,48;;05/03/13;14,55;;05/03/13;15,55;;05/03/13;16,35
06/03/13;13,53;;06/03/13;14,7;;06/03/13;15,55;;06/03/13;16,35
07/03/13;13,06;;07/03/13;14,2;;07/03/13;15,25;;07/03/13;16,1
08/03/13;12,59;;08/03/13;13,8;;08/03/13;15,1;;08/03/13;16,05
11/03/13;11,56;;11/03/13;13;;11/03/13;14,45;;11/03/13;15,55
12/03/13;12,27;;12/03/13;13,25;;12/03/13;14,8;;12/03/13;15,8
13/03/13;11,83;;13/03/13;12,95;;13/03/13;14,7;;13/03/13;15,85
14/03/13;11,3;;14/03/13;12,55;;14/03/13;14,6;;14/03/13;15,75
15/03/13;11,3;;15/03/13;12,55;;15/03/13;14,7;;15/03/13;15,85
18/03/13;13,36;;18/03/13;13,7;;18/03/13;15,4;;18/03/13;16,35
19/03/13;14,39;;19/03/13;14,8;;19/03/13;15,4;;19/03/13;16,25
20/03/13;12,67;;20/03/13;14,5;;20/03/13;15,95;;20/03/13;16,75
21/03/13;13,99;;21/03/13;14,95;;21/03/13;16,15;;21/03/13;16,95
22/03/13;13,57;;22/03/13;14,8;;22/03/13;16;;22/03/13;16,9
25/03/13;13,74;;25/03/13;14,55;;25/03/13;15,8;;25/03/13;16,7
26/03/13;12,77;;26/03/13;14,2;;26/03/13;15,6;;26/03/13;16,55
27/03/13;13,15;;27/03/13;14,4;;27/03/13;15,7;;27/03/13;16,65
28/03/13;12,7;;28/03/13;14,2;;28/03/13;15,6;;28/03/13;16,6
01/04/13;13,58;;01/04/13;14,4;;01/04/13;15,75;;01/04/13;16,7
02/04/13;12,78;;02/04/13;13,8;;02/04/13;15,25;;02/04/13;16,35
03/04/13;14,21;;03/04/13;14,65;;03/04/13;15,75;;03/04/13;16,5
04/04/13;13,89;;04/04/13;14,25;;04/04/13;15,55;;04/04/13;16,5
05/04/13;13,92;;05/04/13;14,35;;05/04/13;15,5;;05/04/13;16,45
08/04/13;13,19;;08/04/13;13,65;;08/04/13;15,1;;08/04/13;16,05
09/04/13;12,84;;09/04/13;13,6;;09/04/13;15,05;;09/04/13;15,95
10/04/13;12,36;;10/04/13;13,1;;10/04/13;14,5;;10/04/13;15,55
11/04/13;12,24;;11/04/13;13,15;;11/04/13;14,5;;11/04/13;15,45
12/04/13;12,06;;12/04/13;12,75;;12/04/13;14,15;;12/04/13;15,3
15/04/13;17,27;;15/04/13;16,7;;15/04/13;16,65;;15/04/13;16,85
16/04/13;13,96;;16/04/13;13,95;;16/04/13;14,75;;16/04/13;15,7
17/04/13;16,51;;17/04/13;16,45;;17/04/13;16,75;;17/04/13;17,15
18/04/13;17,56;;18/04/13;17,2;;18/04/13;17,5;;18/04/13;17,9
19/04/13;14,97;;19/04/13;15,95;;19/04/13;16,8;;19/04/13;17,55
22/04/13;14,39;;22/04/13;15,3;;22/04/13;16,1;;22/04/13;16,95
23/04/13;13,48;;23/04/13;14,55;;23/04/13;15,4;;23/04/13;16,4
24/04/13;13,61;;24/04/13;14,65;;24/04/13;15,4;;24/04/13;16,25
25/04/13;13,62;;25/04/13;14,8;;25/04/13;15,5;;25/04/13;16,3
26/04/13;13,61;;26/04/13;14,8;;26/04/13;15,6;;26/04/13;16,4
29/04/13;13,71;;29/04/13;14,75;;29/04/13;15,55;;29/04/13;16,3
30/04/13;13,52;;30/04/13;14,45;;30/04/13;15,4;;30/04/13;16,25
01/05/13;14,49;;01/05/13;15,15;;01/05/13;15,95;;01/05/13;16,7
02/05/13;13,59;;02/05/13;14,55;;02/05/13;15,5;;02/05/13;16,4
03/05/13;12,85;;03/05/13;14,25;;03/05/13;15,25;;03/05/13;16,2
06/05/13;12,66;;06/05/13;13,9;;06/05/13;14,95;;06/05/13;15,9
07/05/13;12,83;;07/05/13;13,85;;07/05/13;14,9;;07/05/13;15,8
08/05/13;12,66;;08/05/13;14;;08/05/13;15,1;;08/05/13;15,95
09/05/13;13,13;;09/05/13;14,2;;09/05/13;15,35;;09/05/13;16,25
10/05/13;12,59;;10/05/13;13,85;;10/05/13;15,1;;10/05/13;16,2
13/05/13;12,55;;13/05/13;13,65;;13/05/13;15,1;;13/05/13;16,2
14/05/13;12,77;;14/05/13;13,55;;14/05/13;15,05;;14/05/13;16,1
15/05/13;12,81;;15/05/13;13,7;;15/05/13;15,15;;15/05/13;16,25
16/05/13;13,07;;16/05/13;13,95;;16/05/13;15,35;;16/05/13;16,35
17/05/13;12,45;;17/05/13;13,2;;17/05/13;15,1;;17/05/13;16,15
20/05/13;13,02;;20/05/13;13,3;;20/05/13;15,1;;20/05/13;16,25
21/05/13;13,37;;21/05/13;13,55;;21/05/13;15,4;;21/05/13;16,5
22/05/13;13,82;;22/05/13;15,3;;22/05/13;16,4;;22/05/13;17,15
23/05/13;14,07;;23/05/13;15,5;;23/05/13;16,55;;23/05/13;17,45
24/05/13;13,99;;24/05/13;15,5;;24/05/13;16,5;;24/05/13;17,3
28/05/13;14,48;;28/05/13;15,2;;28/05/13;16,35;;28/05/13;17,2
29/05/13;14,83;;29/05/13;15,4;;29/05/13;16,4;;29/05/13;17,15
30/05/13;14,53;;30/05/13;15,4;;30/05/13;16,55;;30/05/13;17,25
31/05/13;16,3;;31/05/13;16,05;;31/05/13;17,15;;31/05/13;17,8
03/06/13;16,28;;03/06/13;16;;03/06/13;17;;03/06/13;17,75
04/06/13;16,27;;04/06/13;16,1;;04/06/13;17,1;;04/06/13;17,8
05/06/13;17,5;;05/06/13;17,05;;05/06/13;17,7;;05/06/13;18,25
06/06/13;16,63;;06/06/13;16,55;;06/06/13;17,25;;06/06/13;18
07/06/13;15,14;;07/06/13;15,8;;07/06/13;16,9;;07/06/13;17,7
10/06/13;15,44;;10/06/13;15,6;;10/06/13;16,7;;10/06/13;17,5
11/06/13;17,07;;11/06/13;16,9;;11/06/13;17,6;;11/06/13;18,15
12/06/13;18,59;;12/06/13;18,25;;12/06/13;18,55;;12/06/13;18,8
13/06/13;16,41;;13/06/13;16,8;;13/06/13;17,7;;13/06/13;18,45
14/06/13;17,15;;14/06/13;17,55;;14/06/13;18,3;;14/06/13;18,9
17/06/13;16,8;;17/06/13;16,95;;17/06/13;17,8;;17/06/13;18,55
18/06/13;16,61;;18/06/13;16,8;;18/06/13;17,65;;18/06/13;18,35
19/06/13;16,64;;19/06/13;17,55;;19/06/13;18,35;;19/06/13;19,05
20/06/13;20,49;;20/06/13;19,65;;20/06/13;19,45;;20/06/13;20,05
21/06/13;18,9;;21/06/13;19;;21/06/13;19,4;;21/06/13;19,9
24/06/13;20,11;;24/06/13;20,15;;24/06/13;20,3;;24/06/13;20,85
25/06/13;18,47;;25/06/13;19,45;;25/06/13;19,95;;25/06/13;20,55
26/06/13;17,21;;26/06/13;18,85;;26/06/13;19,6;;26/06/13;20,4
27/06/13;16,86;;27/06/13;18,2;;27/06/13;19,05;;27/06/13;19,9
28/06/13;16,86;;28/06/13;18,05;;28/06/13;18,9;;28/06/13;19,85
01/07/13;16,37;;01/07/13;17,65;;01/07/13;18,45;;01/07/13;19,4
02/07/13;16,44;;02/07/13;17,6;;02/07/13;18,45;;02/07/13;19,5
03/07/13;16,2;;03/07/13;17,25;;03/07/13;18,35;;03/07/13;19,35
05/07/13;14,89;;05/07/13;15,95;;05/07/13;17,45;;05/07/13;18,75
08/07/13;14,78;;08/07/13;15,35;;08/07/13;16,75;;08/07/13;17,9
09/07/13;14,35;;09/07/13;15,1;;09/07/13;16,65;;09/07/13;17,8
10/07/13;14,21;;10/07/13;14,85;;10/07/13;16,35;;10/07/13;17,45
11/07/13;14,01;;11/07/13;14,5;;11/07/13;16,05;;11/07/13;17,2
12/07/13;13,84;;12/07/13;14,65;;12/07/13;16,2;;12/07/13;17,3
15/07/13;13,79;;15/07/13;14,05;;15/07/13;15,75;;15/07/13;16,95
16/07/13;14,42;;16/07/13;14,25;;16/07/13;16,2;;16/07/13;17,45
17/07/13;13,78;;17/07/13;15,6;;17/07/13;16,95;;17/07/13;17,85
18/07/13;13,77;;18/07/13;15,45;;18/07/13;16,9;;18/07/13;17,85
19/07/13;12,54;;19/07/13;14,9;;19/07/13;16,5;;19/07/13;17,55
22/07/13;12,29;;22/07/13;14,7;;22/07/13;16,2;;22/07/13;17,3
23/07/13;12,66;;23/07/13;14,65;;23/07/13;16,15;;23/07/13;17,2
24/07/13;13,18;;24/07/13;14,8;;24/07/13;16,2;;24/07/13;17,25
25/07/13;12,97;;25/07/13;14,5;;25/07/13;15,9;;25/07/13;16,95
26/07/13;12,72;;26/07/13;14,45;;26/07/13;15,85;;26/07/13;16,9
29/07/13;13,39;;29/07/13;14,65;;29/07/13;15,95;;29/07/13;16,9
30/07/13;13,39;;30/07/13;14,3;;30/07/13;15,7;;30/07/13;16,7
31/07/13;13,45;;31/07/13;13,9;;31/07/13;15,4;;31/07/13;16,35
01/08/13;12,94;;01/08/13;13,6;;01/08/13;15,05;;01/08/13;16,05
02/08/13;11,98;;02/08/13;13,15;;02/08/13;14,65;;02/08/13;15,75
05/08/13;11,84;;05/08/13;13,05;;05/08/13;14,45;;05/08/13;15,5
06/08/13;12,72;;06/08/13;13,4;;06/08/13;14,85;;06/08/13;15,9
07/08/13;12,98;;07/08/13;13,55;;07/08/13;15,05;;07/08/13;16,05
08/08/13;12,73;;08/08/13;13,25;;08/08/13;14,85;;08/08/13;15,9
09/08/13;13,41;;09/08/13;13,55;;09/08/13;15,2;;09/08/13;16,1
12/08/13;12,81;;12/08/13;13,35;;12/08/13;15;;12/08/13;16,05
13/08/13;12,31;;13/08/13;13,1;;13/08/13;14,9;;13/08/13;16,15
14/08/13;13,04;;14/08/13;13,35;;14/08/13;15,15;;14/08/13;16,35
15/08/13;14,73;;15/08/13;14,25;;15/08/13;15,75;;15/08/13;16,85
16/08/13;14,37;;16/08/13;14,45;;16/08/13;15,6;;16/08/13;16,7
19/08/13;15,1;;19/08/13;15,05;;19/08/13;15,95;;19/08/13;16,9
20/08/13;14,91;;20/08/13;15;;20/08/13;15,65;;20/08/13;16,7
21/08/13;15,94;;21/08/13;16,1;;21/08/13;16,95;;21/08/13;17,65
22/08/13;14,76;;22/08/13;15,45;;22/08/13;16,4;;22/08/13;17,05
23/08/13;13,98;;23/08/13;15,2;;23/08/13;16,25;;23/08/13;16,95
26/08/13;14,99;;26/08/13;15,85;;26/08/13;16,7;;26/08/13;17,3
27/08/13;16,77;;27/08/13;17,2;;27/08/13;17,9;;27/08/13;18,4
28/08/13;16,49;;28/08/13;17,35;;28/08/13;17,95;;28/08/13;18,4
29/08/13;16,81;;29/08/13;17,35;;29/08/13;17,95;;29/08/13;18,45
30/08/13;17,01;;30/08/13;17,5;;30/08/13;18,15;;30/08/13;18,65
03/09/13;16,61;;03/09/13;16,85;;03/09/13;17,65;;03/09/13;18,2
04/09/13;15,88;;04/09/13;16,7;;04/09/13;17,55;;04/09/13;18,1
05/09/13;15,77;;05/09/13;16,4;;05/09/13;17,4;;05/09/13;18
06/09/13;15,85;;06/09/13;16,5;;06/09/13;17,5;;06/09/13;18,2
09/09/13;15,63;;09/09/13;15,8;;09/09/13;16,8;;09/09/13;17,55
10/09/13;14,53;;10/09/13;15,15;;10/09/13;16,35;;10/09/13;17,15
11/09/13;13,82;;11/09/13;14,55;;11/09/13;15,75;;11/09/13;16,7
12/09/13;14,29;;12/09/13;14,8;;12/09/13;15,8;;12/09/13;16,7
13/09/13;14,16;;13/09/13;14,8;;13/09/13;15,8;;13/09/13;16,65
16/09/13;14,38;;16/09/13;14,7;;16/09/13;15,55;;16/09/13;16,45
17/09/13;14,53;;17/09/13;14,65;;17/09/13;15,45;;17/09/13;16,3
18/09/13;13,59;;18/09/13;14,7;;18/09/13;15,9;;18/09/13;16,4
19/09/13;13,16;;19/09/13;14,75;;19/09/13;15,9;;19/09/13;16,55
20/09/13;13,12;;20/09/13;15;;20/09/13;16,15;;20/09/13;16,8
23/09/13;14,31;;23/09/13;15,35;;23/09/13;16,4;;23/09/13;17,05
24/09/13;14,08;;24/09/13;15,05;;24/09/13;16,25;;24/09/13;16,85
25/09/13;14,01;;25/09/13;15,05;;25/09/13;16,2;;25/09/13;16,85
26/09/13;14,06;;26/09/13;14,8;;26/09/13;15,95;;26/09/13;16,55
27/09/13;15,46;;27/09/13;15,5;;27/09/13;16,35;;27/09/13;16,9
30/09/13;16,6;;30/09/13;16,2;;30/09/13;16,9;;30/09/13;17,35
01/10/13;15,54;;01/10/13;15,45;;01/10/13;16,25;;01/10/13;16,9
02/10/13;16,6;;02/10/13;16,35;;02/10/13;16,9;;02/10/13;17,25
03/10/13;17,67;;03/10/13;17,25;;03/10/13;17,45;;03/10/13;17,75
04/10/13;16,74;;04/10/13;16,8;;04/10/13;17;;04/10/13;17,35
07/10/13;19,41;;07/10/13;18,5;;07/10/13;18,35;;07/10/13;18,3
08/10/13;20,34;;08/10/13;19,4;;08/10/13;19,1;;08/10/13;18,95
09/10/13;19,6;;09/10/13;18,85;;09/10/13;18,7;;09/10/13;18,85
10/10/13;16,48;;10/10/13;16,4;;10/10/13;16,85;;10/10/13;17,45
11/10/13;15,72;;11/10/13;15,7;;11/10/13;16,4;;11/10/13;16,95
14/10/13;16,07;;14/10/13;15,9;;14/10/13;16,65;;14/10/13;17,2
15/10/13;18,66;;15/10/13;18,2;;15/10/13;17,3;;15/10/13;17,65
16/10/13;14,71;;16/10/13;15,55;;16/10/13;16,55;;16/10/13;17,45
17/10/13;13,48;;17/10/13;14,55;;17/10/13;15,6;;17/10/13;16,9
18/10/13;13,04;;18/10/13;14,35;;18/10/13;15,25;;18/10/13;16,55
21/10/13;13,16;;21/10/13;14,6;;21/10/13;15,5;;21/10/13;16,65
22/10/13;13,33;;22/10/13;14,6;;22/10/13;15,55;;22/10/13;16,75
23/10/13;13,42;;23/10/13;14,7;;23/10/13;15,55;;23/10/13;16,85
24/10/13;13,2;;24/10/13;14,45;;24/10/13;15,45;;24/10/13;16,7
25/10/13;13,09;;25/10/13;14,5;;25/10/13;15,5;;25/10/13;16,8
28/10/13;13,31;;28/10/13;14,55;;28/10/13;15,5;;28/10/13;16,85
29/10/13;13,41;;29/10/13;14,45;;29/10/13;15,5;;29/10/13;16,85
30/10/13;13,65;;30/10/13;14,55;;30/10/13;15,55;;30/10/13;16,9
31/10/13;13,75;;31/10/13;14,5;;31/10/13;15,5;;31/10/13;16,85
01/11/13;13,28;;01/11/13;14,45;;01/11/13;15,6;;01/11/13;16,9
04/11/13;12,93;;04/11/13;13,95;;04/11/13;15,1;;04/11/13;16,5
05/11/13;13,27;;05/11/13;14;;05/11/13;15,2;;05/11/13;16,6
06/11/13;12,67;;06/11/13;13,7;;06/11/13;14,95;;06/11/13;16,4
07/11/13;13,91;;07/11/13;14,25;;07/11/13;15,4;;07/11/13;16,75
08/11/13;12,9;;08/11/13;13,6;;08/11/13;14,85;;08/11/13;16,35
11/11/13;12,53;;11/11/13;13,3;;11/11/13;14,75;;11/11/13;16,45
12/11/13;12,82;;12/11/13;13,35;;12/11/13;14,8;;12/11/13;16,45
13/11/13;12,52;;13/11/13;13,25;;13/11/13;14,65;;13/11/13;16,45
14/11/13;12,37;;14/11/13;13,05;;14/11/13;14,6;;14/11/13;16,4
15/11/13;12,19;;15/11/13;12,95;;15/11/13;14,35;;15/11/13;16,3
18/11/13;13,1;;18/11/13;13,3;;18/11/13;14,3;;18/11/13;16,15
19/11/13;13,39;;19/11/13;13,6;;19/11/13;14,5;;19/11/13;16,4
20/11/13;13,4;;20/11/13;14,15;;20/11/13;16;;20/11/13;17,15
21/11/13;12,66;;21/11/13;13,7;;21/11/13;15,5;;21/11/13;16,7
22/11/13;12,26;;22/11/13;13,6;;22/11/13;15,2;;22/11/13;16,45
25/11/13;12,79;;25/11/13;13,65;;25/11/13;15,05;;25/11/13;16,3
26/11/13;12,81;;26/11/13;13,75;;26/11/13;15;;26/11/13;16,3
27/11/13;12,98;;27/11/13;13,85;;27/11/13;15,1;;27/11/13;16,3
29/11/13;13,7;;29/11/13;13,95;;29/11/13;15,15;;29/11/13;16,35
02/12/13;14,23;;02/12/13;14,3;;02/12/13;15,2;;02/12/13;16,3
03/12/13;14,55;;03/12/13;14,65;;03/12/13;15,5;;03/12/13;16,5
04/12/13;14,7;;04/12/13;14,25;;04/12/13;15,4;;04/12/13;16,45
05/12/13;15,08;;05/12/13;14,55;;05/12/13;15,5;;05/12/13;16,45
06/12/13;13,79;;06/12/13;13,95;;06/12/13;15;;06/12/13;16,05
09/12/13;13,49;;09/12/13;13,75;;09/12/13;14,8;;09/12/13;15,8
10/12/13;13,91;;10/12/13;13,95;;10/12/13;14,9;;10/12/13;15,9
11/12/13;15,42;;11/12/13;14,9;;11/12/13;15,45;;11/12/13;16,4
12/12/13;15,54;;12/12/13;15,4;;12/12/13;15,5;;12/12/13;16,45
13/12/13;15,76;;13/12/13;15,5;;13/12/13;15,5;;13/12/13;16,5
16/12/13;16,03;;16/12/13;15,9;;16/12/13;15,75;;16/12/13;16,6
17/12/13;16,21;;17/12/13;16,25;;17/12/13;15,55;;17/12/13;16,4
18/12/13;13,8;;18/12/13;14,5;;18/12/13;15,55;;18/12/13;16,35
19/12/13;14,15;;19/12/13;14,45;;19/12/13;15,6;;19/12/13;16,5
20/12/13;13,79;;20/12/13;14,45;;20/12/13;15,45;;20/12/13;16,35
23/12/13;13,04;;23/12/13;13,9;;23/12/13;15;;23/12/13;15,95
24/12/13;12,48;;24/12/13;13,4;;24/12/13;14,6;;24/12/13;15,65
26/12/13;12,33;;26/12/13;13,4;;26/12/13;14,5;;26/12/13;15,55
27/12/13;12,46;;27/12/13;13,7;;27/12/13;14,65;;27/12/13;15,65
30/12/13;13,56;;30/12/13;13,9;;30/12/13;14,85;;30/12/13;15,8
31/12/13;13,72;;31/12/13;13,95;;31/12/13;14,75;;31/12/13;15,6
02/01/14;14,23;;02/01/14;14,2;;02/01/14;15,05;;02/01/14;15,9
03/01/14;13,76;;03/01/14;14,05;;03/01/14;14,9;;03/01/14;15,8
06/01/14;13,55;;06/01/14;13,9;;06/01/14;14,75;;06/01/14;15,55
07/01/14;12,92;;07/01/14;13,65;;07/01/14;14,45;;07/01/14;15,3
08/01/14;12,87;;08/01/14;13,7;;08/01/14;14,45;;08/01/14;15,25
09/01/14;12,89;;09/01/14;13,65;;09/01/14;14,55;;09/01/14;15,35
10/01/14;12,14;;10/01/14;13,25;;10/01/14;14,3;;10/01/14;15,2
13/01/14;13,28;;13/01/14;13,8;;13/01/14;14,55;;13/01/14;15,4
14/01/14;12,28;;14/01/14;13,1;;14/01/14;14,1;;14/01/14;15,15
15/01/14;12,28;;15/01/14;13,15;;15/01/14;14,15;;15/01/14;15,15
16/01/14;12,53;;16/01/14;13,45;;16/01/14;14,3;;16/01/14;15,2
17/01/14;12,44;;17/01/14;13,45;;17/01/14;14,25;;17/01/14;15,3
21/01/14;12,87;;21/01/14;13,25;;21/01/14;14,1;;21/01/14;15,1
22/01/14;12,84;;22/01/14;13,85;;22/01/14;14,8;;22/01/14;15,55
23/01/14;13,77;;23/01/14;14,2;;23/01/14;14,95;;23/01/14;15,65
24/01/14;18,14;;24/01/14;16,2;;24/01/14;16,2;;24/01/14;16,75
27/01/14;17,42;;27/01/14;16,1;;27/01/14;16,25;;27/01/14;16,65
28/01/14;15,8;;28/01/14;15,2;;28/01/14;15,55;;28/01/14;16,1
29/01/14;17,35;;29/01/14;16,4;;29/01/14;16,45;;29/01/14;16,8
30/01/14;17,29;;30/01/14;16,65;;30/01/14;16,6;;30/01/14;16,9
31/01/14;18,41;;31/01/14;17,6;;31/01/14;17,35;;31/01/14;17,4
03/02/14;21,44;;03/02/14;19,2;;03/02/14;18,6;;03/02/14;18,45
04/02/14;19,11;;04/02/14;18,65;;04/02/14;18,35;;04/02/14;18,45
05/02/14;19,95;;05/02/14;19,15;;05/02/14;18,75;;05/02/14;18,85
06/02/14;17,23;;06/02/14;17;;06/02/14;17;;06/02/14;17,35
07/02/14;15,29;;07/02/14;15,5;;07/02/14;15,9;;07/02/14;16,5
10/02/14;15,26;;10/02/14;15,65;;10/02/14;15,85;;10/02/14;16,45
11/02/14;14,51;;11/02/14;15,05;;11/02/14;15,3;;11/02/14;15,95
12/02/14;14,3;;12/02/14;14,55;;12/02/14;15;;12/02/14;15,75
13/02/14;14,14;;13/02/14;14,6;;13/02/14;14,95;;13/02/14;15,65
14/02/14;13,57;;14/02/14;14,2;;14/02/14;14,7;;14/02/14;15,45
18/02/14;13,87;;18/02/14;14,25;;18/02/14;14,45;;18/02/14;15,1
19/02/14;15,5;;19/02/14;15,4;;19/02/14;15,8;;19/02/14;16,45
20/02/14;14,79;;20/02/14;14,95;;20/02/14;15,4;;20/02/14;16,05
21/02/14;14,68;;21/02/14;15,15;;21/02/14;15,45;;21/02/14;16,1
24/02/14;14,23;;24/02/14;15;;24/02/14;15,4;;24/02/14;16,05
25/02/14;13,67;;25/02/14;14,9;;25/02/14;15,3;;25/02/14;15,95
26/02/14;14,35;;26/02/14;15,3;;26/02/14;15,65;;26/02/14;16,3
27/02/14;14,04;;27/02/14;15,1;;27/02/14;15,55;;27/02/14;16,25
28/02/14;14;;28/02/14;15,25;;28/02/14;15,7;;28/02/14;16,4
03/03/14;16;;03/03/14;16,6;;03/03/14;16,65;;03/03/14;17
04/03/14;14,1;;04/03/14;15,1;;04/03/14;15,6;;04/03/14;16,35
05/03/14;13,89;;05/03/14;15,15;;05/03/14;15,6;;05/03/14;16,35
06/03/14;14,21;;06/03/14;15,05;;06/03/14;15,55;;06/03/14;16,25
07/03/14;14,11;;07/03/14;15,5;;07/03/14;15,85;;07/03/14;16,45
10/03/14;14,2;;10/03/14;15,3;;10/03/14;15,9;;10/03/14;16,45
11/03/14;14,8;;11/03/14;15,55;;11/03/14;16,1;;11/03/14;16,7
12/03/14;14,47;;12/03/14;15,3;;12/03/14;15,95;;12/03/14;16,6
13/03/14;16,22;;13/03/14;16,6;;13/03/14;16,6;;13/03/14;17,05
14/03/14;17,82;;14/03/14;17,7;;14/03/14;17,1;;14/03/14;17,25
17/03/14;15,64;;17/03/14;16,15;;17/03/14;16,15;;17/03/14;16,6
18/03/14;14,52;;18/03/14;15,6;;18/03/14;16,25;;18/03/14;16,8
19/03/14;15,12;;19/03/14;16;;19/03/14;16,5;;19/03/14;16,95
20/03/14;14,52;;20/03/14;15,75;;20/03/14;16,2;;20/03/14;16,7
21/03/14;15;;21/03/14;16;;21/03/14;16,45;;21/03/14;16,95
24/03/14;15,09;;24/03/14;15,95;;24/03/14;16,45;;24/03/14;16,95
25/03/14;14,02;;25/03/14;15,7;;25/03/14;16,25;;25/03/14;16,85
26/03/14;14,93;;26/03/14;16,05;;26/03/14;16,65;;26/03/14;17,15
27/03/14;14,62;;27/03/14;15,75;;27/03/14;16,4;;27/03/14;16,95
28/03/14;14,41;;28/03/14;15,6;;28/03/14;16,25;;28/03/14;16,8
31/03/14;13,88;;31/03/14;15,15;;31/03/14;15,85;;31/03/14;16,4
01/04/14;13,1;;01/04/14;14,5;;01/04/14;15,45;;01/04/14;16,05
02/04/14;13,09;;02/04/14;14,6;;02/04/14;15,55;;02/04/14;16,15
03/04/14;13,37;;03/04/14;14,45;;03/04/14;15,4;;03/04/14;16
04/04/14;13,96;;04/04/14;14,85;;04/04/14;15,75;;04/04/14;16,25
07/04/14;15,57;;07/04/14;15,5;;07/04/14;16;;07/04/14;16,4
08/04/14;14,89;;08/04/14;15,15;;08/04/14;15,75;;08/04/14;16,25
09/04/14;13,82;;09/04/14;14,5;;09/04/14;15,45;;09/04/14;16
10/04/14;15,89;;10/04/14;15,85;;10/04/14;16,25;;10/04/14;16,5
11/04/14;17,03;;11/04/14;16,85;;11/04/14;16,65;;11/04/14;16,85
14/04/14;16,11;;14/04/14;16,2;;14/04/14;16,65;;14/04/14;16,85
15/04/14;15,61;;15/04/14;15,6;;15/04/14;16,45;;15/04/14;16,65
